id,section,domain,skill,test_name,issues,text_preview
20ec56b7-c956-4c42-84fa-6d5ee0b1ccd5_14,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2024 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? Over 600 languages are spoken in New York City in addition to English—one can find Aromanian spoken in the neighborhood of Ridgewood, or Hindi in Gramercy Park. Many immigr"
5a4b09bc-842b-4866-ae63-c98b8f2cc56e_13,Reading and Writing,Problem-Solving and Data Analysis,Probability,June 2024 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding from the study, if true, would most directly support the team’s conclusion? Neurobiologists Laura Cuaya, Raúl Hernández-Pérez, and colleagues investigated the language detection abilities of eighteen dogs o"
4989a736-d8cf-4f22-b057-f6543b77d0fd_9,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2024 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,What does the text most directly suggest about Pimentel and colleagues conclusion? In 2016 Marta S. Pimentel and colleagues published a study concluding that ocean acidification has a strong effect on the behavior of *Sp
f814a654-4029-44fa-bca6-57bed320ab01_7,Reading and Writing,Problem-Solving and Data Analysis,Probability,June 2024 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, why do Azara's night monkeys respond to high lunar intensity differently than Arizona pocket mice do? Joel Brown and colleagues showed that high moonlight intensity inhibits the activity of the Arizona"
f814a654-4029-44fa-bca6-57bed320ab01_9,Reading and Writing,Problem-Solving and Data Analysis,Probability,June 2024 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding from the study, if true, would most directly support the team's conclusion? Neurobiologists Laura Cuaya, Raúl Hernández-Perez, and colleagues investigated the language detection abilities of eighteen dogs. "
2c578582-a4c6-4b17-a43d-0f06aaab91b7_1,Math,Information and Ideas,Command of Evidence,June 2024 US Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,The bar graph shows the distribution of flower type for the 700 flowers that a florist has in stock. Type of flower For which two types of flowers is the total number of flowers of the two types exactly $ frac{2}{5}$ of 
7d95c376-0a52-42c6-af0d-ac2aaf25546d_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2024 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, where was the National Association of Black Journalists founded? In 1942, Alice Dunnigan began working at the Associated Negro Press and *Chicago Defender*, eventually becoming the first Black woma"
ccef9088-d5f4-4437-b646-7284f78f03a6_7,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2024 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about the work of John Crowley? Though John Crowley, author of *Engine Summer*, is perhaps not as well known as the most commercially successful American writers of the past fifty"
131fb2cc-899f-43fd-ad5b-8d89c1062d52_1,Math,Information and Ideas,Command of Evidence,June 2024 US Form B SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,A data set consists of 213 letters. The bar graph shows the number of times each letter appears in the data set. Which letter appears 80 times?
97534841-3541-4563-86b8-0a919d0bde5b_7,Reading and Writing,Advanced Math,Equivalent Expressions,June 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what is a benefit of visiting Rocky Ridge Farmhouse? Rocky Ridge Farmhouse in Mansfield, Missouri, is the house where Laura Ingalls Wilder lived for nearly twenty years and wrote her novel *Little Hous"
df7af07f-1de4-419a-83e5-dadc9e1caefe_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2025 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, Stephen Graham Jones and Cherie Dimaline are similar in what way? The 2020 novel *The Only Good Indians* confirmed that Stephen Graham Jones is one of the most talented writers of horror fiction to"
d70596a3-d7c7-4cbc-9453-87383eff173a_5,Reading and Writing,Algebra,Linear Functions,June 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice completes the text with the most logical and precise word or phrase? Some social scientists argue that while a belief in the importance of reason and progress is key to democracy, the public's understanding "
d70596a3-d7c7-4cbc-9453-87383eff173a_8,Reading and Writing,Problem-Solving and Data Analysis,Percentages,June 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"According to the text, which choice most accurately describes the importance of the percentage of compact myocardial tissue in the basking shark's heart? The blue shark and the striped marlin are ectothermic (cold-bloode"
7c17367d-234a-4cdb-b654-3dc1d5243ede_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2025 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what information did Herodotus include in his *Histories*? In a period of great prosperity during his reign, Egyptian pharaoh Amenemhat III (circa 1800 BCE) had a pyramid with a massive substructur"
110d04d6-17dd-46a6-a6d5-c895e1d91668_9,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2025 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the finding made by Wright, as presented in the text? Optimal foraging theory (OFT) holds that animals' foraging behaviors reflect cost-benefit trade-offs that vary by species and with dynamic"
7876fc9e-c914-40a9-9906-62c7e3b1bbce_5,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,Which choice best states the function of the underlined portion in the text as a whole? Benjamin Prud'homme and colleagues have explored how convergent evolution—<u>a phenomenon that occurs when the same trait evolves in
7876fc9e-c914-40a9-9906-62c7e3b1bbce_6,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the overall structure of the text? In Ojibwe, an Indigenous language from the Great Lakes region of what are now the United States and Canada, *wâsa* means \""far,\"" whereas *wa-wâsa* means \""f"
7876fc9e-c914-40a9-9906-62c7e3b1bbce_8,Reading and Writing,Advanced Math,Equivalent Expressions,June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, why does Miguel accompany his brother to the sisters' house one day? The following text is from Julia Alvarez's 2000 novel *In the Name of Salomé*. The narrator and her sister, daughters of a famous po"
7876fc9e-c914-40a9-9906-62c7e3b1bbce_9,Reading and Writing,Advanced Math,Equivalent Expressions,June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about paintings by Knight? Motivated to sell as many paintings as possible, Alfred Hair, an influential figure among the landscape artists known as the Florida Highwaymen, pioneer"
7876fc9e-c914-40a9-9906-62c7e3b1bbce_10,Reading and Writing,Algebra,Linear Inequalities,June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, the author would most likely agree with which statement about Vancouver's \""high number of pedestrian amenities\""? Vancouver has high pedestrian traffic, but other cities cannot increase their pedestri"
7876fc9e-c914-40a9-9906-62c7e3b1bbce_12,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which quotation from Poems most effectively illustrates the claim? *Poems* is an 1895 collection of poetry by Frances E.W. Harper. In one of Harper's poems, the speaker criticizes activists who champion humanitarian caus"
7876fc9e-c914-40a9-9906-62c7e3b1bbce_14,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",June 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Mulder and Spellman's conclusion? Mooseberry (*Viburnum edule*) plants are native to Alaska, where harsh conditions have historically impeded potential invasive species"
dbd99943-454f-4340-b42a-6a27b20e090c_5,Reading and Writing,Algebra,Linear Functions,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the function of the underlined portion in the text as a whole? Shedding light on the thermal biology of fungi, research by Radamés Cordero et al. indicates that certain mushrooms (including *C"
dbd99943-454f-4340-b42a-6a27b20e090c_6,Reading and Writing,Algebra,Linear Functions,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the function of the information about Algeria in the text as a whole? In Algeria, use of solid fuel (e.g., coal, wood) as a share of total household fuel use fell by approximately three-fourth"
dbd99943-454f-4340-b42a-6a27b20e090c_7,Reading and Writing,Problem-Solving and Data Analysis,Percentages,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"The text makes which point about the difference between the proportions of La Paz residents and Fortaleza residents using parks? In a study by Mika R. Moran, Daniel A. Rodriguez, and colleagues, residents of La Paz, Boli"
dbd99943-454f-4340-b42a-6a27b20e090c_8,Reading and Writing,Advanced Math,Equivalent Expressions,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Martinez and colleagues' conclusion? The bird species *Hylophilus ochraceiceps* (the tawny-crowned greenlet) shares some territory in French Guiana with *Thamnomanes ca"
dbd99943-454f-4340-b42a-6a27b20e090c_9,Reading and Writing,Problem-Solving and Data Analysis,Probability,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, which potential study design would be most likely to produce evidence that would enable Grasby et al. to answer their research question? Apple's introduction of the iPhone in 2007 is a quintessential i"
dbd99943-454f-4340-b42a-6a27b20e090c_12,Reading and Writing,Problem-Solving and Data Analysis,Two-Variable Data,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice most logically completes the text? Many studies have found a positive association between levels of dissolved organic carbon and mercury in bodies of fresh water in North America. But Petri Porvari and Matti
dbd99943-454f-4340-b42a-6a27b20e090c_13,Reading and Writing,Problem-Solving and Data Analysis,Percentages,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? Chelsea Wood et al. tracked temperature-driven changes in the abundance of *Opechona* sp. (a complex life cycle parasite, or CLP, that requires three host species throughou"
dbd99943-454f-4340-b42a-6a27b20e090c_14,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,June 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? Prolonged exposure to anthropogenic noise (sounds from human sources like traffic or mining) can affect animals, as Lidia Eva Wysocki and colleagues found in a 2006 study o"
a240b08f-646d-4227-8b1f-fadf4c312b08_1,Math,Information and Ideas,Command of Evidence,June 2025 US Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,The bar graph shows the distribution of flower type for the 700 flowers that a florist has in stock. For which two types of flowers is the total number of flowers of the two types exactly $ frac{2}{5}$ of the florist's s
98abbb37-6191-475b-986c-2431f021f4a2_6,Reading and Writing,Algebra,Linear Functions,March 2023 Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice best states the function of the underlined portion in the text as a whole? The following text is Rainer Maria Rilke's 1897 poem *Evening* (translated by Jessie Lamont in 1918). <u>The bleak fields are asleep
98abbb37-6191-475b-986c-2431f021f4a2_9,Reading and Writing,Problem-Solving and Data Analysis,Percentages,March 2023 Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"The text makes which point about the difference between the proportions of Panama City residents and Fortaleza residents using parks? In a study by Mika R. Moran, Daniel A. Rodriguez, and colleagues, residents of Panama "
fd74de5b-6191-4868-9a2d-dd70269d2477_9,Reading and Writing,Advanced Math,Equivalent Expressions,March 2024 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what most likely motivates Tia Ana's behavior during Salome's salon? The following text is adapted from Julia Alvarez's 2000 novel *In the Name of Salomé*. Salomé, a poet, is hosting guests in the fron"
839d1132-416e-4cc6-be17-13454f14da43_8,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"According to the text, which trait do researchers think may contribute to a rusty-spotted cat's ability to purr? Why do rusty-spotted cats purr but lions roar? Researchers hypothesize that this difference between the two"
839d1132-416e-4cc6-be17-13454f14da43_9,Reading and Writing,Advanced Math,Equivalent Expressions,March 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,What does the text suggest about the Turkins? The following text is from Anton Chekhov's 1898 short story “Ionitch” (translated by Marian Fell in 1915). The text is set in a Russian city referred to as the city of S. If 
2f36d10d-2b67-4940-be7e-7ae5a7f478f1_9,Reading and Writing,Advanced Math,Equivalent Expressions,March 2024 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support the researchers' conclusion? Over time, marine mollusks called nautilids continually add segments to their shells, and the chemical composition of each segment is influ"
1772a8fc-3104-49c8-9168-d2704967f5fd_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2024 International Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what is one disadvantage of some conventional thermal preservation methods? The food industry has long used thermal technologies to preserve food in large batches. Recent advancements in infrared heati"
1772a8fc-3104-49c8-9168-d2704967f5fd_10,Reading and Writing,Advanced Math,Equivalent Expressions,March 2024 International Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"The author makes which point about the Spanish language? “Cocoa” is an example of a loanword—that is, a word that originated in one language and was later adopted by another. The word came to English indirectly from *cac"
99671f3e-880b-4ca4-8991-bf3fac7486ec_7,Reading and Writing,Advanced Math,Equivalent Expressions,March 2024 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about the songs sung by Rainey and Smith? In her 1998 book *Blues Legacies and Black Feminism*, Angela Y. Davis bases her analysis in part on recordings of songs sung in the 1920s"
99671f3e-880b-4ca4-8991-bf3fac7486ec_10,Reading and Writing,Problem-Solving and Data Analysis,Probability,March 2024 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding from the study, if true, would most directly support the team's conclusion? Neurobiologists Laura Cuaya, Raul Hernandez-Pérez, and colleagues investigated the language detection abilities of eighteen dogs. "
99671f3e-880b-4ca4-8991-bf3fac7486ec_11,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,March 2024 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding from the researchers' study, if true, would most directly support the researchers' conclusion? Periods of subfreezing temperatures in Alaska have been growing shorter, potentially enabling increased carbon "
69d5bd5d-08fd-46f5-9c5d-266b2e358bce_7,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2024 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what is Camila's primary reaction to the feedback she receives from Juan Ramón Jiménez? The following text is adapted from Julia Alvarez's 2000 novel *In the Name of Salomé*. Camila is the daughter of "
69d5bd5d-08fd-46f5-9c5d-266b2e358bce_8,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2024 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,What does the text most strongly suggest about Tom Towers? The following text is adapted from Anthony Trollope's 1855 novel *The Warden*. Tom Towers is a writer for the newspaper *The Jupiter*. It is true that in far-off
69d5bd5d-08fd-46f5-9c5d-266b2e358bce_11,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,March 2024 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice most effectively uses data from the graph to complete the text? *Hemerocallis* sp. plants typically carry a negative electrical charge, while bees and other pollinators tend to accumulate a positive charge. "
c9ca8c0e-55fa-43a0-bc28-e9911c6cba36_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2024 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what do the essays \""The Utility of the Union in Respect to Revenue\"" and \""The Senate\"" have in common? The Federalist Papers are a collection of 85 essays written by Alexander Hamilton, John Jay, and"
406baf08-71da-41c0-bc3d-ddc2c25258ba_3,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,March 2025 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, when the narrator describes herself as \""cheating,\"" what does she most likely mean? The following text is from Amy Tan's 1989 novel *The Joy Luck Club*. The narrator describes practicing the piano whe"
406baf08-71da-41c0-bc3d-ddc2c25258ba_8,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,March 2025 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what is one reason why simulants are valuable for scientists? The soil on Mars can make missions to explore the planet challenging, as the sand and dust are known to clog filters and lock moving parts "
d3c0680f-0e7b-45fa-a287-0167b3b6346e_8,Reading and Writing,Algebra,Linear Functions,March 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Information in the text best supports which statement about the design of the house in Calle Liceo? Mexican architect Luis Barragán's work, which spanned the 1920s to the 1980s, evolved through distinct phases. After tra"
d3c0680f-0e7b-45fa-a287-0167b3b6346e_10,Reading and Writing,Problem-Solving and Data Analysis,Percentages,March 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly illustrate the researchers' finding? Adelaide, Australia, has installed engineered structures along 53% of its shoreline to protect infrastructure from wave erosion and other h"
d3c0680f-0e7b-45fa-a287-0167b3b6346e_12,Reading and Writing,Algebra,Systems of Linear Equations,March 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice most effectively uses data from the table to complete the statement? A student is writing a research paper on the global rise of the home video game industry during the 1970s and 1980s. The student is surpri
555c176c-fa9a-40e0-b8a8-cb40b47c9ee3_15,Math,Information and Ideas,Command of Evidence,March 2025 International Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"The table shows three values of x and their corresponding values of y, where s is a constant. There is a linear relationship between x and y. Which of the following equations represents this relationship?"
b5bd285b-0705-476c-ac24-58aa076fb71a_8,Reading and Writing,Advanced Math,Equivalent Expressions,March 2025 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, in which year was Adrastea discovered? Io is among Jupiter's four largest moons and was discovered in 1610 by Galileo. Advances in space exploration and imaging technologies have since enabled scie"
77ffe59b-61ef-47e4-ba8e-118244b99796_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2025 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, which choice best describes Sir Winston Day? The following text is from Mick Herron's 2023 novel *The Secret Hours*. The narrator is describing members of a government committee. Finally, and adding mu"
2e82ac91-0f4b-4aee-b9af-429c0dc22e07_10,Reading and Writing,Problem-Solving and Data Analysis,Percentages,March 2025 International Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, how would an advocate of the energy ladder model most likely explain the change observed in Brazil? In Brazil, use of solid fuel (e.g., coal, wood) as a share of total household fuel use fell by around"
2e82ac91-0f4b-4aee-b9af-429c0dc22e07_13,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,March 2025 International Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,Which choice most effectively uses data from the graph to complete the statement? Researchers investigated how enjoyment of a story is affected when it has been spoiled (when the reader has foreknowledge of an important 
e580c519-9667-4b3b-8a1e-a7bec6eba694_6,Reading and Writing,Advanced Math,Nonlinear Equations and Systems,March 2025 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the texts, how would Tsai et al. (Text 2) most likely respond to Madhusudhan et al.'s research, as presented in Text 1? Text 1 Hycean planets are a class of exoplanets (planets outside our solar system) with oce"
e580c519-9667-4b3b-8a1e-a7bec6eba694_7,Reading and Writing,Algebra,Linear Functions,March 2025 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Information in the text best supports which statement about the design of the house in Calle Pedro Loza? Mexican architect Luis Barragán's prolific career, which spanned the 1920s to the 1980s, evolved through distinct p"
e580c519-9667-4b3b-8a1e-a7bec6eba694_8,Reading and Writing,Problem-Solving and Data Analysis,Percentages,March 2025 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly illustrate the researchers' finding? Norfolk, Virginia, has installed engineered structures along 56% of its shoreline to protect infrastructure from wave erosion and other haz"
ffdaaea2-8ec1-44b7-903d-084c644b881a_2,Math,Information and Ideas,Command of Evidence,March 2025 International Form D SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,Which of the following lists represents a data set with the smallest standard deviaton?
ed66cb8c-ccc6-48f0-b65f-d59f856ebf76_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Information in the text best supports which statement about the finding made by Altınışık et al.? Archaeologists have observed similarities in the tools, such as bidirectional blades, uncovered at the Neolithic-period Me"
ed66cb8c-ccc6-48f0-b65f-d59f856ebf76_15,Reading and Writing,Algebra,Linear Inequalities,March 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which detail about songs associated with nueva canción, if true, would best illustrate the underlined claim? Born in Chile in 1917, artist and ethnomusicologist Violeta Parra was a pioneer in the *nueva canción chilena* "
11ab7acb-9d06-445e-8071-b2cefe5234c2_3,Reading and Writing,Problem-Solving and Data Analysis,Probability,March 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice completes the text with the most logical and precise word or phrase? During the 2007-2010 financial crisis, the United States furnished billions of dollars to selected countries' central banks via mechanisms"
11ab7acb-9d06-445e-8071-b2cefe5234c2_5,Reading and Writing,Algebra,Linear Functions,March 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice best describes the function of the underlined sentence in the text as a whole? The following text is from Yung Wing's 1909 memoir *My Life in China and America*. Yung Wing was the first person from China to 
11ab7acb-9d06-445e-8071-b2cefe5234c2_8,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"What is the main topic of the text? Though John Crowley, author of *Engine Summer*, is perhaps not as well known as the most commercially successful American writers of the past fifty years, his work has had several infl"
11ab7acb-9d06-445e-8071-b2cefe5234c2_11,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,March 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice most effectively uses data from the graph to complete the statement? Researchers investigated how enjoyment of a story is affected when it has been spoiled (when the reader has foreknowledge of an important 
11ab7acb-9d06-445e-8071-b2cefe5234c2_15,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? The ratio of methane to other atmospheric constituents—represented by a measure called the methane mole fraction—influences a variety of meteorological phenomena, notably p"
2c685c82-a211-4c0f-9856-cc6b06a5a86e_10,Math,Information and Ideas,Command of Evidence,March 2025 US Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"While walking on a path, Maksim stopped at a water fountain. The graph shows the total distance y, in meters, Maksim had walked on the path x minutes after leaving the water fountain. What distance, in meters, did Maksim"
8979aab8-13bc-4454-bb32-5bdf66fd4ea4_7,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",March 2025 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what is one way that non-Indigenous museums typically differ from the cultural centers operated by the Pueblo of Pojoaque and the Tohono O'odham Nation? In what is now New Mexico, the Pueblo of Poj"
1bbdda23-57e5-4170-8fb2-e513425353ca_10,Reading and Writing,Problem-Solving and Data Analysis,Percentages,March 2025 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what can most reasonably be concluded about pygmy right and bowhead whales? Baleen whales eat up to 30 percent of their total body mass in krill (tiny shrimplike creatures) per day. So in one day, a py"
00907d99-e579-47a8-ac65-658aadef4aa7_22,Math,Information and Ideas,Command of Evidence,March 2025 US Form B SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"The equation of the graph shown is y= a z + b, where a and b are constants. What is the value of a-b?"
35bd5fb1-7659-4393-b736-241352b7187e_17,Math,Information and Ideas,Command of Evidence,March 2025 US Form B SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"The table shows three values of x and their corresponding values of y, where s is a constant. There is a linear relationship between x and y. Which of the following equations represents this relationship?"
9ce7f863-9f97-46a6-9458-7fb4726c3cb0_9,Reading and Writing,Advanced Math,Equivalent Expressions,May 2024 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what is a difference between how historians view Lestek and how they view Wladyslaw I Herman? Historians point to the rule of the Piast dynasty as crucial to the formation of the Polish state. Howe"
2b2c5092-6895-4eaf-abfe-b6413511e94f_9,Reading and Writing,Advanced Math,Equivalent Expressions,May 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what was surprising about the researchers’ mapping of the magnetic field of galactic bone G47? Using the Stratospheric Observatory for Infrared Astronomy (SOFIA), a team of astronomers mapped out t"
2b2c5092-6895-4eaf-abfe-b6413511e94f_10,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",May 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about the rooms in the rectory? The following text is from Anthony Trollope’s 1855 novel *The Warden*. The narrator is describing a rectory, the residence of a clergyperson. There"
27590f35-8d6e-45c6-b665-222acb5e516d_5,Math,Information and Ideas,Command of Evidence,May 2024 International Form A SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"In 2000, a census was taken to determine the population of a certain town. The graph gives the estimated population y, in thousands, of this town z years after the 2000 census was taken, where 0 $ le$ x $ le$ 5. Based on"
2f91d920-5520-4266-8a2d-a29c925c95c0_2,Math,Information and Ideas,Command of Evidence,May 2024 International Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,What is an equation of the graph shown?
2f91d920-5520-4266-8a2d-a29c925c95c0_12,Math,Information and Ideas,Command of Evidence,May 2024 International Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"A certain open star cluster contains M-type stars and K-type stars. The estimated total mass of M-type and K-type stars in this open star cluster is 132,778 quettagrams. The graph shown models the possible combinations o"
0d55e7c2-0ee1-41db-a3b0-b364a32b2c6b_8,Reading and Writing,Advanced Math,Equivalent Expressions,May 2024 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what does Jack most likely believe about Bartley? The following text is adapted from Lady Gregory's 1904 play *Spreading the News*. Jack Smith and Bartley Fallon have encountered each other at the loca"
2cde5163-29ab-4fac-b1b1-06ee2a11740a_9,Reading and Writing,Advanced Math,Equivalent Expressions,May 2024 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice best states the main topic of the text? Archaeologists have discovered a runestone in Norway that may contain the earliest example of written words in Scandinavia. Carbon dating at the discovery site reveale
ce4a93ed-9eeb-4f1f-a8b2-d697482ce03a_4,Reading and Writing,Algebra,Linear Functions,May 2024 International Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice best states the function of the underlined portion in the text as a whole? Barn owls and horses see in three dimensions (3D) by combining two images in their brains, one from each eye. This produces a sense "
